Status;Name;fomat (coords);Genauigkeit (A=genau auf anlage, R= Region, f=feld);Koordinaten;Bundesland;Art der Nutzung;Mwtherm (installierte Leistung geothermisch);MWel;max. Temperatur;Teufe in m (TVD);Forderrate (l/s) (maximal);Jahresproduktion geothermische Wärme GWh/a;Jahresproduktion geothermischer Strom GWh/a;Jahr d. Inbetrieb-nahme;Entwicklung/ Aufsuchungserlaubnis;Output;Anzahl der Bohrungen;Hauptnutzung;Nebennutzung;Reservoir ;Betreiberstruktur;Region;News zu Projekten;Betreiber Name;Zusatzinfos;;;
B_Projekt in Bau;Darmstadt;;;49.87154589534785, 8.648628854564983;Hessen;"Erdwärmesondenspeicher
/ Forschung";;;;;;;;;;;;;;;;;Projektinfo: https://www.geo.tu-darmstadt.de/geothermie/forschungsprojekte_ag/laufende_projekte_ag/skews.de.jsp;;;;;
B_Projekt in Bau;Frankfurt am Main;;;50.10978686925627, 8.67630782564379;Hessen;Forschung;;;;;;;;;;;;;;;;;letzte News: https://frankfurt.de/de-de/aktuelle-meldung/energiereferat/geothermie-forschungsbohrung-rebstock/;;;;;
B_Projekt in Bau;Bochum 2 (Stadtwerke Bochum, Mark 51°7) ;m;a;51.468190, 7.269939;Nordrhein-Westfalen;Grubenwasser;;;;;;;;;27.08.2022 bis 26.08.2027;;;;;;;;;Stadtwerke Bochum Holding GmbH;;;;
B_Projekt in Bau;Potsdam;maps;a;52.384704, 13.076484;Brandenburg;Hydrogeothermie;;;;;;;;;;;;;;;;Nord.Becken;;;;;;
B_Projekt in Bau;Berlin-Adlershof;maps;f;52.425768,13.526191;Berlin;Aquiferspeicher;;;;;;;;;;;;;;;;;;;;;;
B_Projekt in Bau;Neuruppin;geotis;;52.92971670587752, 12.830142096367828;Brandenburg;Hydrogeothermie;;;;;;;;;;;;;;;;;https://www.geothermie.de/aktuelles/nachrichten/news-anzeigen/bohrung-in-neuruppin-erreicht-500-meter-marke?tx_news_pi1%5BactbackPid%5D=137&cHash=45cea28bc5612327cf7aba755f33c620;;;;;
B_Projekt in Bau;Hamburg-Wilhelmsburg;;;53.49980094145574, 10.018523508436584;Hamburg;Hydrogeothermie;;;;;;;;;;;;;;;;Nord.Becken;;;;;;
B_Projekt in Bau;Neubrandenburg;;;53.549095553624845, 13.235606820955386;Mecklenburg-Vorpommern;Hydrogeothermie / Aquiferspeicher;;;80;1.268;28;;;1987;2004 Fertigstellung Aquiferspeicher;Wärme;Dublette;Speicher;;O.Keuper (Rhaet);kommunal;Nord.Becken;https://www.neu-sw.de/pressemeldungen/waerme-aus-der-erde-neu-sw-baut-aquiferspeicher-zu-tiefengeothermie-anlage-um;;;;;
B_Projekt in Bau;Krefeld/ Salvea - Lust auf grüne Energie;rh;a;51.34139015556271, 6.536367033083359;Nordrhein-Westfalen;Hydrogeothermie;;;;;;;;;;;;;;;;;https://www.krefeld.de/de/inhalt/geologischer-dienst-plant-forschungsbohrung-in-krefeld/;;;;;
C_Forschungsprojekte ;Alsdorf;m;r;47.61564095130721, 7.673259143632073;Nordrhein-Westfalen;Forschung;;;26;900;;;;2018;;;;;;;;Nord.Becken;;;;;;
C_Forschungsprojekte ;Mauerstetten;;;48.0940793938152, 9.803375686850341;Bayern;Forschung;;;130;4.080;;;;;;;;;;;;Molassebecken;;;;;;
C_Forschungsprojekte ;HDR Bad Urach;;;48.506939814788055, 9.374128244187277;Baden-Württemberg;Hot-Dry-Rock;;;;;;;;;;;;;;;;;;;;;;
C_Forschungsprojekte ;Zwickau;maps;r;50.716949, 12.496606;Sachsen;Grubenwasser;;;26;628;;;;2018;;Wärme;;;;;;;https://www.saechsische.de/nachhaltigkeit/sachsen-waerme-reservoir-themalwasser-vogtland-waerme-aus-grosser-tiefe-kommunen-suchen-klimaschonende-loesung-5894696.html;;;;;
C_Forschungsprojekte ;Hannover;geotis;;52.40538249243043, 9.826339230222407;Niedersachsen;Forschung;2;;169;3.820;;;;;;;;;;;;Nord.Becken;;;;;;
C_Forschungsprojekte ;Horstberg;;;52.90333311324816, 10.328054251558454;Niedersachsen;Forschung;;;159;3.920;;;;;;;;;;;;Nord.Becken;;;;;;
C_Forschungsprojekte ;Groß Schönebeck;geotis;;52.90381696285989, 13.601612176917618;Brandenburg;Forschung;;1;150;4.309;;;;2011 ;;;;;;;;Nord.Becken;;;;;;
D_Projekt in Planung;Lörrach;;;47.61564095130721, 7.673259143632073;Baden-Württemberg;Hydrogeothermie;;;;;;;;;30.06.2026.;;;;;;;;;;;;;
D_Projekt in Planung;Erdwärme Rosenheim;;;47.85647862615721, 12.118964336760932;Bayern;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;"Weilheim ""Hardtwiese""";;;47.86731651868918, 11.197270018268414;Bayern;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Traunstein;;;47.86739322251717, 12.637406558652517;Bayern;Hydrogeothermie;;;;;;;;;;;;;;;;Molassebecken;http://www.geothermie-traunstein.de/;;;;;
D_Projekt in Planung;Erdwärme Feldkirchen-Westerham;;;47.90901101943569, 11.846030592357547;Bayern;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Wolfratshausen;;;47.91022277007403, 11.42485522227732;Bayern;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;"""GT Törring"" II";maps;;47.93596493834527, 12.870245335646182;Bayern;Hydrogeothermie;;;;;;;;;30.04.2028;;;;;;;;;;;;;
D_Projekt in Planung;Bad Waldsee II;;;47.937327137989136, 9.76827528859064;Baden-Württemberg;Hydrogeothermie;;;;;;;;;31.12.2027;;;;;;kommunal;Molassebecken;;Stadtwerke Bad Waldsee GmbHHauptstraße 2988339 Bad Waldsee;;;;
D_Projekt in Planung;"Rupertiwinkel ""Ruperti II""";;;47.94816322814506, 12.858415312174529;Bayern;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Traunreut / Waging am See ;;;47.94933767298183, 12.642169490830092;Bayern;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Dingharting-Attenham;;;47.95717338865071, 11.544151322026869;Bayern;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Erlich;;;47.995934206667116, 7.788665936023102;Baden-Württemberg;Hydrogeothermie;;;;;;;;;28.02.2025;;;;;;privater Investor;Oberrheingraben;;Deutsche ErdWärme GmbHMarktplatz 382031 Grünwald;;;;
D_Projekt in Planung;"Seefeld ""Vierseen""";;;47.996346085738814, 11.252429734455514;Bayern;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Palling;;;48.00047371415766, 12.63827194609091;Bayern;Hydrogeothermie;;;;;;;;;;;;;;;;Molassebecken;https://www.geothermie-palling.de/presse;;;;;
D_Projekt in Planung;Trostberg;;;48.02656614542359, 12.554836688874541;Bayern;Hydrogeothermie;;;;;;;;;;;;;;;;Molassebecken;;;;;;
D_Projekt in Planung;Ammersee-West;;;48.039263487567226, 11.05212018433147;Bayern;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Pullach Süd;;;48.05555953496567, 11.517268338254889;Bayern;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Gauting West;;;48.05750893477704, 11.32290084955661;Bayern;Hydrogeothermie;;;;;;;;;31.03.2025;;;;;;;;;;;;;
D_Projekt in Planung;Gauting Ost;;;48.06592530031783, 11.404441390074705;Bayern;Hydrogeothermie;;;;;;;;;30.11.2025;;;;;;;Molassebecken;;;;;;
D_Projekt in Planung;Erdwärme Vaterstetten;;;48.105324942679125, 11.77319777951548;Bayern;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Planegg/Gräfelfing;;;48.11577060827251, 11.428460085810334;Bayern;Hydrogeothermie;;;;;;;;;;;;;;;;Molassebecken;https://www.geothermie-graefelfing.de/bisherige-schritte;;;;;
D_Projekt in Planung;Engelsberg;;;48.11642109736139, 12.543934147309393;Bayern;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Seismik Giga-M;;;48.123769490231034, 11.570897778594139;Bayern;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Waldweihnacht;;;48.12967611012164, 12.714686125247729;Bayern;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Fürstenfeldbruck-Nord;;;48.173358975378385, 11.248235202703608;Bayern;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Chemiepark Gendorf;;;48.17791128436578, 12.721016271812298;Bayern;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;München-Milbertshofen (BMW);;;48.18308464137711, 11.560200296781957;Bayern;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;"Graben ""Lechfeld""";;;48.18840515534486, 10.822471566518908;Bayern;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;München-Freimann;;;48.18949187280258, 11.608300585147825;Bayern;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Aschau am Inn;;;48.19706201887078, 12.349488070534996;Bayern;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;München-Feldmoching;;;48.20778204433672, 11.532967481480256;Bayern;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Graming;;;48.20820384266516, 12.666007800189224;Bayern;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Geiselbullach;;;48.22784945192916, 11.343633939237618;Bayern;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Karlsfeld Nord;;;48.22858836437431, 11.473234178130769;Bayern;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Ampfing Geothermal;;;48.25346600816881, 12.411744093083335;Bayern;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Dachau-Nord;;;48.26331321255316, 11.433373901407554;Bayern;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Neufahrn-Eching;;;48.30964562153244, 11.64448783339483;Bayern;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
