Status;Name;Koordinaten;Koordinaten Quelle;Bundesland;Art der Nutzung;Mwtherm (installierte Leistung geothermisch);MWel;max. Temperatur;Teufe in m (TVD);Forderrate (l/s) (maximal);Jahresproduktion geothermische Wärme GWh/a;Jahresproduktion geothermischer Strom GWh/a;Jahr d. Inbetrieb-nahme;Entwicklung/ Aufsuchungserlaubnis;Output;Anzahl der Bohrungen;Hauptnutzung;Nebennutzung;Reservoir ;Betreiberstruktur;Region;News zu Projekten;Betreiber Name;Zusatzinfos
D_Projekt in Planung;"""Luftbrücke""";50.03875103357532, 8.596442092659883;;Hessen;Hydrogeothermie;;;;;;;;;;;;;;;;"Chemiepark Höchst und Frankfurter Flughafen
";https://www.irw-press.com/de/news/vulcan-erhaelt-neue-aufsuchungslizenz-in-der-region-frankfurt_72044.html?isin=AU0000066086;Vulcan ;
D_Projekt in Planung;Ried;49.84161479691538, 8.468468523009529;;Hessen;Hydrogeothermie;;;;;;;;;;;;;;;;;;;
A_Projekt in Betrieb;Neubrandenburg;53.549095553624845, 13.235606820955386;geotis;Mecklenburg-Vorpommern;Hydrogeothermie / Aquiferspeicher;;;80;1.268;28;;;1987;2004 Fertigstellung Aquiferspeicher;Wärme;Dublette;Speicher;;O.Keuper (Rhaet);kommunal;Nord.Becken;https://www.neu-sw.de/pressemeldungen/waerme-aus-der-erde-neu-sw-baut-aquiferspeicher-zu-tiefengeothermie-anlage-um;;
A_Projekt in Betrieb;Schwerin;53.61160506954665, 11.378065334267013;;Mecklenburg-Vorpommern;Hydrogeothermie;7,5;;56;1.311;;;;2023;;Wärme;Dublette;;;;;Nord.Becken;https://www.stadtwerke-schwerin.de/home/ueber_uns/geothermie/Geothermie-in-Schwerin-Lankow-Ablauf-und-Ergebnisse,swsr_id,786,swsr_inhalt_id,2450.html;;
A_Projekt in Betrieb;Waren;53.50846808868685, 12.706866064335136;geotis;Mecklenburg-Vorpommern;Hydrogeothermie;1,3;;63;1.565;17;1,34;;1984;Seit 2012 auch Balneologie;Wärme;Dublette;Fernwärme;Balneologie;Sandstein;kommunal;Nord.Becken;;;
D_Projekt in Planung;Wolgast „Jarovit“;54.05274766182214, 13.739785525325175;;Mecklenburg-Vorpommern;Hydrogeothermie;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Zinnowitz „Vineta“;54.072248106892204, 13.911824124756217;;Mecklenburg-Vorpommern;Hydrogeothermie;;;;;;;;;;;;;;;;;https://www.parchim.de/de/news/news-2024/information-geothermie/;;
D_Projekt in Planung;Göhren-Lebbin;53.47578850246684, 12.525781402961185;;Mecklenburg-Vorpommern;Hydrogeothermie;;;;;;;;;;;;;;;;;https://www.base.bund.de/SharedDocs/Downloads/BASE/DE/IP/einvernehmenserklaerung/Mecklenburg-Vorpommern/BASE-21102-08-A-0088.html;;
D_Projekt in Planung;Karlshagen-Usedom;54.115763163517606, 13.820448786061359;;Mecklenburg-Vorpommern;Hydrogeothermie;;;;;;;;;;;;;;;;Nord.Becken;https://www.geothermie-karlshagen.de/;;
D_Projekt in Planung;Kaiserbäder Usedom;53.962024716636996, 14.154660541415963;;Mecklenburg-Vorpommern;Hydrogeothermie;;;;;;;;;;;;;;;;Nord.Becken;https://www.geothermie-karlshagen.de/;;
D_Projekt in Planung;Parchim-Stadt;53.42494055759068, 11.830829136586528;;Mecklenburg-Vorpommern;Hydrogeothermie;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Stralsund;54.31021272312311, 13.035525256557323;;Mecklenburg-Vorpommern;3 Sonden vorhanden, nicht in Nutzung;;;;;;;;;;;;;;;;Nord.Becken;;;
A_Projekt in Betrieb;Neustadt-Glewe;53.370086444791845, 11.58624277017484;geotis;Mecklenburg-Vorpommern;Hydrogeothermie;4;;99;2.450;35;16,03;;1994;bis 2012 Stromerzeugung mit ORC-Anlage;Wärme;Dublette;Fernwärme;;O.Keuper (Rhaet);kommunal;Nord.Becken;;;
C_Forschungsprojekte ;Horstberg;52.90333311324816, 10.328054251558454;geotis;Niedersachsen;Forschung;;;159;;;;;;;;;;;;;Nord.Becken;;;
C_Forschungsprojekte ;Hannover;52.40538249243043, 9.826339230222407;geotis;Niedersachsen;Forschung;2;;169;;;;;;;;;;;;;Nord.Becken;;;
D_Projekt in Planung;Ahnsbeck;52.61074585425046, 10.28406165249926;NIBIS Kartenserver : powered by cardo.Map (lbeg.de);Niedersachsen;Hydrogeothermie;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Altencelle;52.595044971923706, 10.113514579163345;;Niedersachsen;Hydrogeothermie;;;;;;;;;;;;;;;;;https://www.lbeg.niedersachsen.de/aktuelles/pressemitteilungen/landkreis-celle-baker-hughes-inteq-gmbh-bekommt-feld-altencelle-zugeteilt-lbeg-erteilt-erlaubnis-zur-aufsuchung-von-erdwarme-221713.html;;
